labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Data Cleaning & Preparation,Story,Medium,"*Acceptance Criteria:* \\  \\ * Missing values, incorrect types, malformed dates and outliers are handled explicitly. \\  \\ *Tasks:* \\  \\ Implement cleaning transforms for missing values, type coercion, date parsing and outlier treatment. \\  \\ Record every cleaning decision so results are reproducible.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Surface Business Insights,Story,Medium,*Acceptance Criteria:* \\  \\ * At least three business insights are produced from the dataset. \\  \\ *Tasks:* \\  \\ Compute trade volume (count and value by date). \\  \\ Identify most active accounts and fill rate (filled vs rejected). \\  \\ Compute exposure by instrument and average trade size over a period. \\  \\ *Notes:* \\  \\ * Insights must be explainable to a non-technical stakeholder.,Sprint 4,,S4 Analytics & ETL
LEAP1T1,Visualisations for a Non-Technical Audience,Story,Medium,"*Acceptance Criteria:* \\  \\ * Clear, well-labelled charts communicate the insights to a non-technical audience. \\  \\ *Tasks:* \\  \\ Select appropriate chart types for each insight (matplotlib / seaborn / plotly). \\  \\ Assemble the charts into a simple dashboard view.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Simple ETL Pipeline,Story,Medium,"*Acceptance Criteria:* \\  \\ * Data ingestion is structured as a testable extract-transform-load pipeline. \\  \\ *Tasks:* \\  \\ Structure ingestion into distinct extract, transform and load stages. \\  \\ Load prepared data into the analytical store for reporting. \\  \\ *Notes:* \\  \\ * ETL is introduced conceptually here, not built to depth; depth comes in Sprint 7 and the DE specialisation.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Access Fauxnance Data Through a REST API,Story,Medium,"*Acceptance Criteria:* \\  \\ * Historical price data is pulled from the Fauxnance API, handling auth, pagination and rate limits. \\  \\ *Tasks:* \\  \\ Call GET /candles/{symbol} on the Fauxnance API with the key read from the X-Api-Key environment variable. \\  \\ Handle 429 rate-limit responses gracefully with backoff and load the results for analysis. \\  \\ *Notes:* \\  \\ * Reinforces choosing API access over building a pipeline when appropriate. Keys live in the environment, never in the repository.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Pipeline Tests (pytest),Story,Medium,*Acceptance Criteria:* \\  \\ * pytest validates the pipeline transforms and outputs and catches bad data early. \\  \\ *Tasks:* \\  \\ Write unit tests for the transform functions. \\  \\ Add validation tests that fail on malformed or out-of-range input. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid input transforms to expected output \\ # missing required field is rejected \\ # out-of-range value is flagged \\ # empty dataset handled without error,Sprint 4,,S4 Analytics & ETL
LEAP1T1,Define Snowflake Analytical Schema,Story,Low,"*Acceptance Criteria:* \\  \\ * A dimensional model for trade analytics is defined in Snowflake. \\  \\ *Tasks:* \\  \\ Define DIM_ACCOUNT, DIM_INSTRUMENT, DIM_DATE and FACT_TRADES. \\  \\ Document the star schema and its grain. \\  \\ *Notes:* \\  \\ * This schema is the load target for the Sprint 7 batch pipeline. The ANSI schema also runs on DuckDB for teams without a Snowflake account.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Core Business Logic (Java & OOAD),Epic,Medium,"*Acceptance Criteria:* \\  \\ * The core trading engine is designed with UML and built in clean, SOLID, unit-tested Java. \\ * Domain entities, enums, DTOs and a custom exception hierarchy model the trading domain. \\ * Order placement and settlement logic is standalone and ready to wrap in a service; no DB or API yet. \\  \\ *Notes:* \\  \\ * Pure domain logic; this is the business-logic engine the Sprint 6 service will expose. \\ * Security focus: input validation in the domain model, defensive coding and clean code to minimise the vulnerability surface.",Sprint 5,S5 Core Business Logic,
LEAP1T1,Domain Modelling (UML Class & Sequence Diagrams),Story,High,"*Acceptance Criteria:* \\  \\ * UML class and sequence diagrams model the trading domain and order lifecycle. \\  \\ *Tasks:* \\  \\ Identify entities, responsibilities and relationships from the requirements. \\  \\ Produce class diagrams (association, aggregation, composition, inheritance). \\  \\ Produce sequence diagrams for order placement and settlement. \\  \\ Peer-review the diagrams and refine.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Domain Entities,Story,High,"*Acceptance Criteria:* \\  \\ * Account, Instrument, Order and Position entities are implemented in Java. \\  \\ *Tasks:* \\  \\ Create Account (id, accountId, holderName, cashBalance, status, version, lastUpdated) with debit(), credit(), isActive(). \\  \\ Create Instrument (id, symbol, name, assetClass, currency, tradable) with isTradable(). \\  \\ Create Order (id, accountId, symbol, side, quantity, price, status, idempotencyKey, createdOn). \\  \\ Create Position (accountId, symbol, quantity, averageCost) with apply() and marketValue().",Sprint 5,,S5 Core Business Logic
LEAP1T1,Domain Enums,Story,Medium,"*Acceptance Criteria:* \\  \\ * AccountStatus, OrderSide and OrderStatus enums are defined. \\  \\ *Tasks:* \\  \\ Create AccountStatus (ACTIVE, SUSPENDED, CLOSED). \\  \\ Create OrderSide (BUY, SELL) and OrderStatus (NEW, FILLED, REJECTED, CANCELLED).",Sprint 5,,S5 Core Business Logic
LEAP1T1,DTOs with Validation,Story,High,"*Acceptance Criteria:* \\  \\ * Request and response DTOs carry validation annotations. \\  \\ *Tasks:* \\  \\ Create PlaceOrderRequest with @NotNull and @Positive validations. \\  \\ Create OrderResponse, AccountResponse, PositionResponse and ErrorResponse. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid request passes validation \\ # null required field is rejected \\ # non-positive quantity or price is rejected",Sprint 5,,S5 Core Business Logic
LEAP1T1,Custom Exception Hierarchy,Story,High,*Acceptance Criteria:* \\  \\ * A custom exception hierarchy models the domain error conditions. \\  \\ *Tasks:* \\  \\ Create AccountNotFoundException and AccountNotActiveException. \\  \\ Create InstrumentNotFoundException. \\  \\ Create InsufficientFundsException and InsufficientHoldingsException. \\  \\ Create DuplicateOrderException for reused idempotency keys.,Sprint 5,,S5 Core Business Logic
LEAP1T1,Order Placement & Settlement Logic,Story,High,"*Acceptance Criteria:* \\  \\ * Buy and sell rules are enforced and positions and cash update atomically. \\  \\ *Tasks:* \\  \\ Implement order validation (account exists and is ACTIVE, instrument tradable, quantity and price > 0). \\  \\ Implement BUY logic: verify cash balance >= quantity x price, then debit cash and update position. \\  \\ Implement SELL logic: verify held quantity >= order quantity, then credit cash and reduce position. \\  \\ Enforce idempotency using the idempotency key. \\  \\ *Unit Test Execution Paths:* \\  \\ # buy succeeds and updates cash and position \\ # buy rejected on insufficient funds \\ # sell rejected on insufficient holdings \\ # order rejected on inactive account \\ # order rejected on unknown or non-tradable instrument \\ # duplicate idempotency key rejected",Sprint 5,,S5 Core Business Logic
LEAP1T1,"Unit Tests (TDD, JUnit)",Story,High,"*Acceptance Criteria:* \\  \\ * Domain logic is covered by meaningful JUnit tests written test-first (red-green-refactor). \\  \\ *Tasks:* \\  \\ Write AccountTest: testDebit_Success, testDebit_InsufficientFunds, testCredit_Success. \\  \\ Write OrderLogicTest: testBuy_Success, testSell_InsufficientHoldings, testReject_InactiveAccount. \\  \\ Write PlaceOrderRequestValidationTest: testValidRequest, testInvalidQuantity, testNullFields. \\  \\ *Notes:* \\  \\ * A single unit test is one class, one method, one execution path; cover error paths as isolated tests.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Trade REST API (Spring Boot),Epic,Medium,"*Acceptance Criteria:* \\  \\ * The Sprint 5 logic is wrapped in a layered Spring Boot service with MyBatis persistence to Postgres. \\ * REST endpoints implement contracts/trade-api.yaml and the service is Dockerised. \\ * Protected routes validate JWTs issued by the provided Node auth stub; the real auth service replaces it in Sprint 8. \\  \\ *Notes:* \\  \\ * First service exposing the core logic via an API. \\ * In Sprint 6 there is no Trade Executor, so POST /api/v1/orders fills synchronously and returns FILLED or REJECTED. Sprint 7 changes it to return NEW. \\ * Security focus: Spring Security JWT validation on protected endpoints, Bean Validation on DTOs, safe error handling with no stack-trace leakage (OWASP A01, A05).",Sprint 6,S6 Trade REST API,
LEAP1T1,Spring Boot Project Setup,Story,Medium,"*Acceptance Criteria:* \\  \\ * A Spring Boot project is bootstrapped with the required dependencies and configuration. \\  \\ *Tasks:* \\  \\ Create the Spring Boot project and add web, validation, MyBatis and OpenAPI dependencies. \\  \\ Configure application properties (datasource, server port, logging).",Sprint 6,,S6 Trade REST API
LEAP1T1,OpenAPI Contract-First Specification,Story,High,"*Acceptance Criteria:* \\  \\ * The service implements the order and account endpoints defined in contracts/trade-api.yaml, contract-first. \\  \\ *Tasks:* \\  \\ Work to the OpenAPI spec for POST /api/v1/orders, DELETE /api/v1/orders/{id} and the account endpoints. \\  \\ Match the request/response schemas and the error envelope in the spec exactly. \\  \\ *Notes:* \\  \\ * Contract-first: the spec drives the implementation and is the binding reference every consumer generates its client from later.",Sprint 6,,S6 Trade REST API
LEAP1T1,Layered Architecture (Controller-Service-Repository),Story,High,"*Acceptance Criteria:* \\  \\ * The service follows a clean controller to service to repository layering. \\  \\ *Tasks:* \\  \\ Establish controller, service and repository layers with clear responsibilities. \\  \\ Wire dependency injection between the layers, keeping SQL out of controllers and HTTP types out of the domain.",Sprint 6,,S6 Trade REST API
LEAP1T1,MyBatis Persistence Mappers,Story,High,"*Acceptance Criteria:* \\  \\ * MyBatis mappers persist and query against the Sprint 3 Postgres schema using parameterised queries. \\  \\ *Tasks:* \\  \\ Implement MyBatis mappers for accounts, orders and positions. \\  \\ Use parameterised statements throughout to prevent injection. \\  \\ Map result sets to the domain and DTO objects. \\  \\ *Unit Test Execution Paths:* \\  \\ # order row inserted and retrievable \\ # account and positions read correctly \\ # mapper throws on constraint violation",Sprint 6,,S6 Trade REST API
LEAP1T1,OrderService with Transactions,Story,High,"*Acceptance Criteria:* \\  \\ * OrderService wraps the core logic with transactional order processing. \\  \\ *Tasks:* \\  \\ Implement placeOrder(PlaceOrderRequest), cancelOrder(orderId), validateOrder() and executeOrder(). \\  \\ Annotate order placement with @Transactional so cash and position update atomically. \\  \\ Apply optimistic locking using the account version. \\  \\ *Unit Test Execution Paths:* \\  \\ # place order commits cash and position together \\ # failed order rolls back with no partial write \\ # concurrent update detected via optimistic lock",Sprint 6,,S6 Trade REST API
LEAP1T1,AccountService,Story,Medium,"*Acceptance Criteria:* \\  \\ * AccountService exposes account, balance, positions and order-history reads. \\  \\ *Tasks:* \\  \\ Implement getAccount(id), getBalance(id), getPositions(id) and getOrders(id). \\  \\ *Unit Test Execution Paths:* \\  \\ # account details returned for valid id \\ # not-found error for unknown account",Sprint 6,,S6 Trade REST API
LEAP1T1,Order Endpoints (Place & Cancel),Story,High,"*Acceptance Criteria:* \\  \\ * POST /api/v1/orders places an order and DELETE /api/v1/orders/{id} cancels a working order. \\  \\ *Tasks:* \\  \\ Implement POST /api/v1/orders returning orderId, status and echo of the order. \\  \\ Implement DELETE /api/v1/orders/{id} returning the updated order status. \\  \\ Return conflict (ORD-409) when cancelling a filled or already-cancelled order. \\  \\ *Unit Test Execution Paths:* \\  \\ # request mapping invalid (400) \\ # server error (500) \\ # order placed and filled successfully \\ # order rejected on business-rule failure \\ # working order cancelled successfully \\ # cancel of filled order returns conflict \\  \\ *Integration Test* \\  \\ Test the flow to place and cancel orders using the real controller, service and MyBatis persistence against Postgres.",Sprint 6,,S6 Trade REST API
LEAP1T1,Account & Portfolio Endpoints,Story,Medium,"*Acceptance Criteria:* \\  \\ * GET endpoints expose account details, cash balance, positions and order history. \\  \\ *Tasks:* \\  \\ Implement GET /api/v1/accounts/{id}, /balance, /positions and /orders. \\  \\ Shape responses via the account and position DTOs. \\  \\ *Unit Test Execution Paths:* \\  \\ # request mapping invalid (400) \\ # server error (500) \\ # account, balance, positions and orders returned successfully \\ # unknown account returns not found \\  \\ *Integration Test* \\  \\ Test the read flows using the real controller, service and persistence classes.",Sprint 6,,S6 Trade REST API
LEAP1T1,Bean Validation & DTO Shaping,Story,Medium,*Acceptance Criteria:* \\  \\ * Incoming requests are validated with Bean Validation and responses are shaped by DTOs. \\  \\ *Tasks:* \\  \\ Apply @Valid and Bean Validation constraints on request DTOs. \\  \\ Return VAL-422 for invalid input. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid request accepted \\ # invalid quantity or price returns 422 \\ # null required field returns 422,Sprint 6,,S6 Trade REST API
LEAP1T1,Global Exception Handler & Error Catalog,Story,High,"*Acceptance Criteria:* \\  \\ * A @ControllerAdvice maps domain exceptions to the documented error catalogue with no stack-trace leakage. \\  \\ *Tasks:* \\  \\ Implement @ControllerAdvice with @ExceptionHandler methods. \\  \\ Map exceptions to ACC-404, ACC-403, INS-404, ORD-400, ORD-409, VAL-422 and AUTH-401 with correct HTTP status. \\  \\ Return the ErrorResponse shape and log the error internally without exposing internals. \\  \\ *Unit Test Execution Paths:* \\  \\ # account not found maps to ACC-404 (404) \\ # inactive account maps to ACC-403 (403) \\ # insufficient funds maps to ORD-400 (400) \\ # duplicate order maps to ORD-409 (409) \\ # invalid input maps to VAL-422 (422)",Sprint 6,,S6 Trade REST API
LEAP1T1,Structured Logging,Story,Low,"*Acceptance Criteria:* \\  \\ * The service emits structured logs suitable for auditing order activity. \\  \\ *Tasks:* \\  \\ Add structured logging around order placement, cancellation and errors. \\  \\ Ensure no secrets or sensitive payloads are logged.",Sprint 6,,S6 Trade REST API
LEAP1T1,JWT Validation Against the Provided Auth Stub,Story,High,"*Acceptance Criteria:* \\  \\ * Protected /api/v1/** routes validate a JWT issued by the provided Node auth stub and reject missing or invalid tokens with AUTH-401. \\  \\ *Tasks:* \\  \\ Add a Spring Security filter that verifies the HS256 signature, expiry and claims of tokens from the provided Node auth stub, using the shared development secret from JWT_SECRET. \\  \\ Reject a token whose accountId claim does not match the account being addressed with ACC-403. \\  \\ Return AUTH-401 for missing, malformed, expired or wrongly signed tokens. \\  \\ *Notes:* \\  \\ * The auth stub is provided in the starter material, not built. It is a fixture with no tests to write. \\ * The stub is used through Sprint 7 and replaced by the real auth service in Sprint 8; the swap is configuration only.",Sprint 6,,S6 Trade REST API
LEAP1T1,Containerise the Service,Story,Medium,*Acceptance Criteria:* \\  \\ * The service runs as a Docker image built with a multi-stage Dockerfile. \\  \\ *Tasks:* \\  \\ Write a multi-stage Dockerfile that builds and packages the service. \\  \\ Verify the containerised service starts and serves requests.,Sprint 6,,S6 Trade REST API
LEAP1T1,"Event-Driven Backbone (Kafka, Executor & ETL)",Epic,Medium,"*Acceptance Criteria:* \\  \\ * Three Kafka topics (orders, trade-events, market-data) move trade events between services as the real-time backbone, keyed and partitioned per contracts/kafka-topics.md. \\ * The Trade REST API publishes accepted orders to orders and returns NEW; teams build the Trade Executor that consumes orders, prices each against a live Fauxnance quote, applies the fill rules and publishes the outcome to trade-events. \\ * A market-data poller publishes Fauxnance quotes onto market-data, and a batch ETL pipeline loads the analytics warehouse with data-quality checks. \\  \\ *Notes:* \\  \\ * There is no provided Broker Simulator. The whole execution path, the Trade Executor, the fill logic and the market-data poller, is the participants' to build. \\ * Real-time plus batch data backbone. \\ * Security focus: DevSecOps in CI (SAST, dependency scanning, secret detection) and SonarQube quality gates (OWASP A06, A08).",Sprint 7,S7 Event-Driven Backbone,
LEAP1T1,Kafka Topic Design,Story,Medium,"*Acceptance Criteria:* \\  \\ * The orders, trade-events and market-data topics are created with the documented keys, partition counts and retention. \\  \\ *Tasks:* \\  \\ Create orders (key accountId as a string, 3 partitions, 7-day retention) and trade-events (key accountId, 3 partitions, 30-day retention). \\  \\ Create market-data (key symbol, 6 partitions, 1-day retention). \\  \\ Create topics explicitly at startup rather than relying on auto-creation, and record the partition and key choices. \\  \\ *Notes:* \\  \\ * Key orders and trade-events by accountId so all events for one account stay ordered on one partition. Key market-data by symbol. Never key by order identifier.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Order Publishing from the Trade REST API,Story,High,"*Acceptance Criteria:* \\  \\ * From Sprint 7, POST /api/v1/orders persists the order as NEW, publishes an ORDER_PLACED event to orders and returns NEW. \\  \\ *Tasks:* \\  \\ Add a producer with acks=all and enable.idempotence=true that publishes the standard envelope and the ORDER_PLACED payload after the database commit. \\  \\ Change the endpoint to record the order as NEW and stop filling synchronously; both behaviours remain valid under contracts/trade-api.yaml. \\  \\ *Unit Test Execution Paths:* \\  \\ # order persisted then event published after commit \\ # publish failure leaves a recoverable committed order \\ # rolled-back order publishes no event \\  \\ *Notes:* \\  \\ * Publish after the commit, never inside the transaction. A published event for a rolled-back order is unrecoverable; a committed order not yet published is recoverable by replaying the order table.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Build the Trade Executor Consumer,Story,High,"*Acceptance Criteria:* \\  \\ * A standalone Trade Executor consumes orders in consumer group trade-executor with manual offset commits. \\  \\ *Tasks:* \\  \\ Build the executor as a separate deployable Kafka consumer subscribed to orders. \\  \\ Disable auto-commit; process the message, then commit the offset. \\  \\ Set an explicit group.id of trade-executor and handle partition rebalancing. \\  \\ *Unit Test Execution Paths:* \\  \\ # message consumed and offset committed after processing \\ # rebalance reassigns partitions without losing a message \\ # consumer count above the partition count leaves an idle consumer \\  \\ *Notes:* \\  \\ * There is no Broker Simulator. The executor is the execution engine and it is built here, not called.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Fill Pricing Against Fauxnance Quotes,Story,High,"*Acceptance Criteria:* \\  \\ * The executor prices each order against a live Fauxnance quote, applies the marketability gate, re-checks funds and holdings at execution time, and updates order, cash and position in one transaction. \\  \\ *Tasks:* \\  \\ Fetch a delayed quote with GET /quotes/{symbol}, reading the key from the X-Api-Key environment variable. \\  \\ Apply the marketability gate: fill in full when a BUY limit price is at or above the quote, or a SELL limit price is at or below it; otherwise reject. \\  \\ Re-check at execution time that the account is ACTIVE, cash covers a BUY and holdings cover a SELL, since state may have changed since acceptance. \\  \\ Update orders, cash and position atomically and publish ORDER_FILLED or ORDER_REJECTED with executedPrice, cashDelta, positionQuantityAfter and averageCostAfter to trade-events. \\  \\ *Unit Test Execution Paths:* \\  \\ # marketable buy fills at the quoted price and debits cash once \\ # non-marketable order rejected with reason PRICE_NOT_MET \\ # buy rejected with reason INSUFFICIENT_FUNDS when cash no longer covers it \\ # sell rejected when holdings no longer cover it \\ # a rejection is published to trade-events, not swallowed \\  \\ *Notes:* \\  \\ * Partial fills are out of scope; OrderStatus has no state for them, so fill in full or reject. Fill rules are the team's design decision within the contract business rules.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Idempotent Consumption & Dead-Letter Handling,Story,High,"*Acceptance Criteria:* \\  \\ * Replaying a consumed ORDER_PLACED message does not double-debit an account, and poison messages are routed to a dead-letter topic without blocking the partition. \\  \\ *Tasks:* \\  \\ Guard the state transition with UPDATE orders SET ... WHERE id = ? AND status = 'NEW' and treat zero rows affected as already handled. \\  \\ Route a message that fails deserialisation or validation to orders.DLT on the first attempt, with the original message as the value and the failure reason in a header. \\  \\ Retry a transient failure (for example Fauxnance returning 503) with backoff and dead-letter it only once the retry budget is spent. \\  \\ *Unit Test Execution Paths:* \\  \\ # duplicate delivery leaves cash and position unchanged \\ # malformed message dead-lettered on first attempt \\ # transient failure retried with backoff then succeeds \\  \\ *Notes:* \\  \\ * The platform runs at-least-once. Duplicates happen; the guarded transition makes reprocessing safe. Demonstrating a replay that does not move the balance twice is the Sprint 7 acceptance check.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Market-Data Poller,Story,High,"*Acceptance Criteria:* \\  \\ * A poller calls Fauxnance batch quotes on an interval and publishes one QUOTE message per symbol onto market-data, staying inside the daily quota. \\  \\ *Tasks:* \\  \\ Poll only held and watched symbols, batching up to 25 per call with GET /quotes?symbols=A,B,C, which counts as one request against the 2000-per-day quota. \\  \\ Publish one message per symbol keyed by symbol, not one message per batch, so per-symbol ordering holds. \\  \\ Cache last prices and back off when GET /usage shows the quota is close to exhausted. \\  \\ *Unit Test Execution Paths:* \\  \\ # a batch of 25 symbols is one Fauxnance request \\ # one Kafka message published per symbol \\ # polling limited to held and watched symbols \\  \\ *Notes:* \\  \\ * Fauxnance has no stream. This poller is what creates the market-data stream that Sprint 10 extensions consume. The UI never calls Fauxnance, because that would ship a key to the browser.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Batch ETL Pipeline (Postgres to Snowflake),Story,Medium,"*Acceptance Criteria:* \\  \\ * Trade data is extracted from Postgres, transformed and loaded into the analytics warehouse defined in Sprint 4. \\  \\ *Tasks:* \\  \\ Implement extract, transform and load stages for trade data. \\  \\ Load the FACT_TRADES and dimension tables. \\  \\ *Unit Test Execution Paths:* \\  \\ # full load populates the warehouse \\ # transform handles nulls and type mismatches \\  \\ *Notes:* \\  \\ * Teams without a Snowflake account load the same ANSI schema into DuckDB.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Pipeline Resilience,Story,High,*Acceptance Criteria:* \\  \\ * The pipeline handles errors with retries and idempotency so reruns are safe. \\  \\ *Tasks:* \\  \\ Add retry logic with backoff on transient failures. \\  \\ Make loads idempotent (incremental vs full) so reprocessing does not duplicate data. \\  \\ *Unit Test Execution Paths:* \\  \\ # transient failure retried then succeeds \\ # rerun does not duplicate loaded rows,Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Batch Data Quality & Dead-Letter Routing,Story,High,*Acceptance Criteria:* \\  \\ * Records are validated and schema-checked; bad records are routed to a dead-letter store without killing the pipeline. \\  \\ *Tasks:* \\  \\ Add validation and schema checks on inbound records. \\  \\ Route invalid records to a dead-letter store and alert. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid record loaded \\ # invalid record routed to dead-letter \\ # pipeline continues after a bad record,Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Characterisation Tests on Starter Codebase,Story,Medium,"*Acceptance Criteria:* \\  \\ * Characterisation tests capture existing behaviour of the planted starter codebase as a safety net before refactoring. \\  \\ *Tasks:* \\  \\ Write characterisation tests around the provided starter codebase. \\  \\ Apply the first set of refactors (extract method, replace conditional, introduce parameter object) with tests proving behaviour is unchanged. \\  \\ *Notes:* \\  \\ * The us-ireland starter code carries intentional defects and legacy patterns. Write the characterisation tests before changing any of it.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,SonarQube Quality Gates & DevSecOps in CI,Story,Medium,"*Acceptance Criteria:* \\  \\ * SonarQube analysis and DevSecOps checks run in GitHub Actions and enforce quality and security gates. \\  \\ *Tasks:* \\  \\ Wire SonarQube analysis into the pipeline and interpret findings. \\  \\ Add SAST, dependency scanning and secret detection to CI. \\  \\ Configure quality gates that fail the build on threshold breaches.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Dashboard Consumes Real-Time & Batch,Story,Low,*Acceptance Criteria:* \\  \\ * The Sprint 4 Python analytics dashboard is updated to consume from both the real-time stream and the batch warehouse. \\  \\ *Tasks:* \\  \\ Extend the Sprint 4 dashboard to read real-time and batch sources. \\  \\ Reconcile the two views for consistency.,Sprint 7,,S7 Event-Driven Backbone
