labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Surface Business Insights,Story,Medium,"*Acceptance Criteria:* \\  \\ * At least three business insights are produced, each stated as a claim a non-technical reader can follow. \\  \\ *Tasks:* \\  \\ Compute trade volume (count and value by date). \\  \\ Identify the most active accounts and the fill rate (filled versus rejected). \\  \\ Compute exposure by instrument and average trade size over a period.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Visualisations for a Non-Technical Audience,Story,Medium,"*Acceptance Criteria:* \\  \\ * Clear, well-labelled charts communicate the insights to a non-technical audience. \\  \\ *Tasks:* \\  \\ Select appropriate chart types for each insight (matplotlib, seaborn or plotly). \\  \\ Assemble the charts into a simple dashboard view.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Simple ETL Pipeline,Story,Medium,"*Acceptance Criteria:* \\  \\ * Ingestion is separated into distinct extract, transform and load functions. \\  \\ *Tasks:* \\  \\ Structure ingestion into extract, transform and load stages. \\  \\ Load prepared data into the analytical store for reporting. \\  \\ *Notes:* \\  \\ * ETL is introduced conceptually here; the depth comes in Sprint 7.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Access Fauxnance Data Through a REST API,Story,Medium,"*Acceptance Criteria:* \\  \\ * Candle data is pulled through the Fauxnance API with the key read from the environment. \\  \\ *Tasks:* \\  \\ Call GET /candles/{symbol} with the X-Api-Key header read from the environment. \\  \\ Handle rate-limit (429) and error responses gracefully, not with a bare try block. \\  \\ *Notes:* \\  \\ * Fauxnance gives a 2000-requests-per-day quota per key; batch and cache to stay inside it.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Pipeline Tests (pytest),Story,Medium,"*Acceptance Criteria:* \\  \\ * pytest validates the pipeline transforms and catches bad data early. \\  \\ *Tasks:* \\  \\ Write unit tests for the transform functions, including one malformed-input case. \\  \\ Add validation tests that fail on out-of-range input. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid input transforms to expected output \\ # missing required field is rejected \\ # out-of-range value is flagged \\ # empty dataset handled without error",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Define Snowflake Analytical Schema,Story,Low,"*Acceptance Criteria:* \\  \\ * A dimensional model for trade analytics is defined in the analytical store. \\  \\ *Tasks:* \\  \\ Define DIM_ACCOUNT, DIM_INSTRUMENT, DIM_DATE and FACT_TRADES. \\  \\ Document the star schema and its grain. \\  \\ *Notes:* \\  \\ * This schema is the load target for the Sprint 7 batch pipeline. \\ * Teams without a Snowflake account use DuckDB; contracts/analytics-schema.sql runs on either.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Core Business Logic (Java & OOAD),Epic,Medium,"*Acceptance Criteria:* \\  \\ * The core trading engine is designed with UML and built in clean, SOLID, unit-tested Java 21. \\ * Domain entities, enumerations, DTOs and a custom exception hierarchy model the trading domain. \\ * Order placement and settlement logic is standalone, with no database, HTTP or Spring dependency. \\  \\ *Notes:* \\  \\ * Pure domain logic; this is the business-logic engine the Sprint 6 service will expose. \\ * Core Java is a refresher for this run; tests are still written before implementation, evidenced in commit history. \\ * Security focus: input validation in the domain model, defensive coding, clean code to minimise the vulnerability surface.",Sprint 5,S5 Core Business Logic,
LEAP1T1,Domain Modelling (UML Class & Sequence Diagrams),Story,High,"*Acceptance Criteria:* \\  \\ * UML class and sequence diagrams model the trading domain and order lifecycle, and match the code. \\  \\ *Tasks:* \\  \\ Identify entities, responsibilities and relationships from the requirements. \\  \\ Produce class diagrams (association, aggregation, composition, inheritance). \\  \\ Produce sequence diagrams for order placement and settlement. \\  \\ Peer-review the diagrams and refine.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Domain Entities,Story,High,"*Acceptance Criteria:* \\  \\ * Account, Instrument, Order and Position entities are implemented in Java and match the domain model. \\  \\ *Tasks:* \\  \\ Create Account (id, accountId, holderName, cashBalance, status, version, lastUpdated) with debit(), credit(), isActive(). \\  \\ Create Instrument (id, symbol, name, assetClass, currency, tradable) with isTradable(). \\  \\ Create Order (id, accountId, symbol, side, quantity, price, status, idempotencyKey, createdOn). \\  \\ Create Position (accountId, symbol, quantity, averageCost) with apply() and marketValue(). \\  \\ *Notes:* \\  \\ * accountId means the numeric ACCOUNTS.id everywhere; the string business identifier is ACCOUNTS.account_id only.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Domain Enums,Story,Medium,"*Acceptance Criteria:* \\  \\ * AccountStatus, OrderSide and OrderStatus enums match the specification exactly. \\  \\ *Tasks:* \\  \\ Create AccountStatus (ACTIVE, SUSPENDED, CLOSED). \\  \\ Create OrderSide (BUY, SELL) and OrderStatus (NEW, FILLED, REJECTED, CANCELLED).",Sprint 5,,S5 Core Business Logic
LEAP1T1,DTOs with Validation,Story,High,"*Acceptance Criteria:* \\  \\ * Request and response DTOs carry validation annotations. \\  \\ *Tasks:* \\  \\ Create PlaceOrderRequest with @NotNull and @Positive validations. \\  \\ Create OrderResponse, AccountResponse, PositionResponse and ErrorResponse. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid request passes validation \\ # null required field is rejected \\ # non-positive quantity or price is rejected",Sprint 5,,S5 Core Business Logic
LEAP1T1,Custom Exception Hierarchy,Story,High,*Acceptance Criteria:* \\  \\ * A custom exception hierarchy covers all six specified error conditions. \\  \\ *Tasks:* \\  \\ Create AccountNotFoundException and AccountNotActiveException. \\  \\ Create InstrumentNotFoundException. \\  \\ Create InsufficientFundsException and InsufficientHoldingsException. \\  \\ Create DuplicateOrderException for reused idempotency keys.,Sprint 5,,S5 Core Business Logic
LEAP1T1,Order Placement & Settlement Logic,Story,High,"*Acceptance Criteria:* \\  \\ * Business rules 1 to 8 are enforced in the domain, and positions and cash update atomically. \\  \\ *Tasks:* \\  \\ Implement order validation (account exists and is ACTIVE, instrument tradable, quantity and price > 0). \\  \\ Implement BUY logic: verify cash balance >= quantity x price, then debit cash and update position. \\  \\ Implement SELL logic: verify held quantity >= order quantity, then credit cash and reduce position. \\  \\ Enforce idempotency using the idempotency key. \\  \\ *Unit Test Execution Paths:* \\  \\ # buy succeeds and updates cash and position \\ # buy rejected on insufficient funds \\ # sell rejected on insufficient holdings \\ # order rejected on inactive account \\ # order rejected on unknown or non-tradable instrument \\ # duplicate idempotency key rejected",Sprint 5,,S5 Core Business Logic
LEAP1T1,"Unit Tests (TDD, JUnit)",Story,High,"*Acceptance Criteria:* \\  \\ * Domain logic is covered by meaningful JUnit tests written test-first (red, green, refactor). \\  \\ *Tasks:* \\  \\ Write AccountTest: testDebit_Success, testDebit_InsufficientFunds, testCredit_Success. \\  \\ Write OrderLogicTest: testBuy_Success, testSell_InsufficientHoldings, testReject_InactiveAccount. \\  \\ Write PlaceOrderRequestValidationTest: testValidRequest, testInvalidQuantity, testNullFields. \\  \\ *Notes:* \\  \\ * A single unit test is one class, one method, one execution path; cover error paths as isolated tests.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Trade REST API (Spring Boot),Epic,Medium,"*Acceptance Criteria:* \\  \\ * The Sprint 5 logic is wrapped in a layered, Dockerised Spring Boot service with MyBatis persistence to Postgres. \\ * All six endpoints implement contracts/trade-api.yaml, including the error envelope and every code in the catalogue. \\ * A protected route is authenticated against the provided Node auth stub. \\  \\ *Notes:* \\  \\ * First service exposing the core logic via an API; OpenAPI-first is assessed against the provided contract, not one authored from scratch. \\ * GitHub Copilot is introduced in this sprint; teams keep a short code-walkthrough note explaining any Copilot-generated code they keep. \\ * The Node auth stub is a provided fixture (issuer auth-stub, port 3000, shared dev secret); the real Auth service replaces it in Sprint 8. \\ * Security focus: JWT validation on protected endpoints, Bean Validation on DTOs, safe error handling with no stack-trace leakage (OWASP A01, A05).",Sprint 6,S6 Trade REST API,
LEAP1T1,Spring Boot Project Setup,Story,Medium,"*Acceptance Criteria:* \\  \\ * A Spring Boot project is bootstrapped with the required dependencies and configuration. \\  \\ *Tasks:* \\  \\ Create the Spring Boot project and add web, validation, MyBatis and OpenAPI dependencies. \\  \\ Configure application properties (datasource, server port, logging).",Sprint 6,,S6 Trade REST API
LEAP1T1,Implement the Provided OpenAPI Contract,Story,High,"*Acceptance Criteria:* \\  \\ * The service implements contracts/trade-api.yaml for the order and account endpoints. \\  \\ *Tasks:* \\  \\ Read contracts/trade-api.yaml and map POST /api/v1/orders, DELETE /api/v1/orders/{id} and the account endpoints. \\  \\ Match the request and response schemas and the error envelope to the provided contract. \\  \\ *Notes:* \\  \\ * Design is assessed against the provided contract; the team does not author the contract from scratch.",Sprint 6,,S6 Trade REST API
LEAP1T1,Layered Architecture (Controller-Service-Repository),Story,High,"*Acceptance Criteria:* \\  \\ * The service follows a clean controller to service to repository layering; no SQL in a controller, no HTTP type in the domain. \\  \\ *Tasks:* \\  \\ Establish controller, service and repository layers with clear responsibilities. \\  \\ Wire dependency injection between the layers.",Sprint 6,,S6 Trade REST API
LEAP1T1,MyBatis Persistence Mappers,Story,High,"*Acceptance Criteria:* \\  \\ * MyBatis mappers persist and query against the Sprint 3 Postgres schema using parameterised statements throughout. \\  \\ *Tasks:* \\  \\ Implement MyBatis mappers for accounts, orders and positions. \\  \\ Use parameterised statements throughout to prevent injection. \\  \\ Map result sets to the domain and DTO objects. \\  \\ *Unit Test Execution Paths:* \\  \\ # order row inserted and retrievable \\ # account and positions read correctly \\ # mapper throws on constraint violation",Sprint 6,,S6 Trade REST API
LEAP1T1,OrderService with Transactions,Story,High,"*Acceptance Criteria:* \\  \\ * OrderService wraps the core logic with transactional order processing and optimistic locking. \\  \\ *Tasks:* \\  \\ Implement placeOrder(PlaceOrderRequest), cancelOrder(orderId), validateOrder() and executeOrder(). \\  \\ Annotate order placement with @Transactional so cash and position update atomically. \\  \\ Apply optimistic locking using the account version column. \\  \\ *Unit Test Execution Paths:* \\  \\ # place order commits cash and position together \\ # failed order rolls back with no partial write \\ # concurrent update detected via optimistic lock",Sprint 6,,S6 Trade REST API
LEAP1T1,AccountService,Story,Medium,"*Acceptance Criteria:* \\  \\ * AccountService exposes account, balance, positions and order-history reads. \\  \\ *Tasks:* \\  \\ Implement getAccount(id), getBalance(id), getPositions(id) and getOrders(id). \\  \\ *Unit Test Execution Paths:* \\  \\ # account details returned for valid id \\ # not-found error for unknown account",Sprint 6,,S6 Trade REST API
LEAP1T1,Order Endpoints (Place & Cancel),Story,High,"*Acceptance Criteria:* \\  \\ * POST /api/v1/orders places an order and DELETE /api/v1/orders/{id} cancels a working order. \\  \\ *Tasks:* \\  \\ Implement POST /api/v1/orders returning orderId, status and echo of the order. \\  \\ Implement DELETE /api/v1/orders/{id} returning the updated order status. \\  \\ Return ORD-409 when cancelling a filled or already-cancelled order. \\  \\ *Unit Test Execution Paths:* \\  \\ # request mapping invalid (400) \\ # server error (500) \\ # order placed and filled successfully \\ # order rejected on business-rule failure \\ # working order cancelled successfully \\ # cancel of filled order returns conflict \\  \\ *Integration Test* \\  \\ Test the place and cancel flow using the real controller, service and MyBatis persistence against Postgres.",Sprint 6,,S6 Trade REST API
LEAP1T1,Account & Portfolio Endpoints,Story,Medium,"*Acceptance Criteria:* \\  \\ * GET endpoints expose account details, cash balance, positions and order history. \\  \\ *Tasks:* \\  \\ Implement GET /api/v1/accounts/{id}, /balance, /positions and /orders. \\  \\ Shape responses via the account and position DTOs. \\  \\ *Unit Test Execution Paths:* \\  \\ # request mapping invalid (400) \\ # server error (500) \\ # account, balance, positions and orders returned successfully \\ # unknown account returns not found \\  \\ *Integration Test* \\  \\ Test the read flows using the real controller, service and persistence classes.",Sprint 6,,S6 Trade REST API
LEAP1T1,Bean Validation & DTO Shaping,Story,Medium,*Acceptance Criteria:* \\  \\ * Incoming requests are validated with Bean Validation and responses are shaped by DTOs. \\  \\ *Tasks:* \\  \\ Apply @Valid and Bean Validation constraints on request DTOs. \\  \\ Return VAL-422 for invalid input. \\  \\ *Unit Test Execution Paths:* \\  \\ # valid request accepted \\ # invalid quantity or price returns 422 \\ # null required field returns 422,Sprint 6,,S6 Trade REST API
LEAP1T1,Global Exception Handler & Error Catalogue,Story,High,"*Acceptance Criteria:* \\  \\ * A @ControllerAdvice maps every domain exception to its documented code and status with no stack-trace leakage. \\  \\ *Tasks:* \\  \\ Implement @ControllerAdvice with @ExceptionHandler methods. \\  \\ Map exceptions to ACC-404, ACC-403, INS-404, ORD-400, ORD-409, VAL-422 and AUTH-401 with the correct HTTP status. \\  \\ Return the ErrorResponse shape and log the error internally without exposing internals. \\  \\ *Unit Test Execution Paths:* \\  \\ # account not found maps to ACC-404 (404) \\ # inactive account maps to ACC-403 (403) \\ # insufficient funds maps to ORD-400 (400) \\ # duplicate order maps to ORD-409 (409) \\ # invalid input maps to VAL-422 (422)",Sprint 6,,S6 Trade REST API
LEAP1T1,Structured Logging,Story,Low,"*Acceptance Criteria:* \\  \\ * The service emits structured logs suitable for auditing order activity. \\  \\ *Tasks:* \\  \\ Add structured logging around order placement, cancellation and errors. \\  \\ Ensure no secrets or sensitive payloads are logged.",Sprint 6,,S6 Trade REST API
LEAP1T1,Integrate the Provided Node Auth Stub,Story,Medium,"*Acceptance Criteria:* \\  \\ * A protected route validates a real JWT issued by the provided Node auth stub and rejects a missing or invalid token with AUTH-401. \\  \\ *Tasks:* \\  \\ Add a Spring Security filter that validates the stub's JWT (issuer auth-stub, shared dev secret) on protected routes. \\  \\ Reject a token whose accountId claim does not match the addressed account with ACC-403. \\  \\ *Notes:* \\  \\ * The stub is a fixture with no tests to write; the real NestJS Auth service replaces it in Sprint 8 with a configuration change only.",Sprint 6,,S6 Trade REST API
LEAP1T1,Containerise the Service,Story,Medium,*Acceptance Criteria:* \\  \\ * The service runs as a Docker image built with a multi-stage Dockerfile. \\  \\ *Tasks:* \\  \\ Write a multi-stage Dockerfile that builds and packages the service. \\  \\ Verify the containerised service starts and serves requests.,Sprint 6,,S6 Trade REST API
LEAP1T1,Event-Driven Backbone (Kafka & ETL),Epic,Medium,"*Acceptance Criteria:* \\  \\ * Three Kafka topics with producers and consumers move trade events per contracts/kafka-topics.md. \\ * The Trade Executor consumes orders, prices against a live Fauxnance quote, applies fill or reject rules, updates order, cash and position in one transaction, and publishes to trade-events. \\ * A market-data poller publishes Fauxnance quotes to the market-data topic, and a batch ETL loads FACT_TRADES. \\  \\ *Notes:* \\  \\ * There is no Broker Simulator: the team builds the Trade Executor and the fill logic themselves. \\ * Monday is a public holiday (Ganesh Chaturthi), so this is a four-taught-day week; scope the executor and ETL work accordingly. \\ * The duplicate-delivery demonstration (a replayed message must not double-debit an account) is mandatory. \\ * Copilot is available; keep a short code-walkthrough note for any generated executor or poller code kept. \\ * Security focus: DevSecOps in CI (SAST, dependency scanning, secret detection) and SonarQube quality gates (OWASP A06, A08).",Sprint 7,S7 Event-Driven Backbone,
LEAP1T1,Kafka Topic Design,Story,Medium,"*Acceptance Criteria:* \\  \\ * The orders, trade-events and market-data topics are created with documented keys and partition counts. \\  \\ *Tasks:* \\  \\ Create orders and trade-events keyed by accountId with three partitions each. \\  \\ Create market-data keyed by symbol with six partitions. \\  \\ Document the five-field envelope (eventId, eventType, eventTime, source, schemaVersion) and the rationale for each key and partition count.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Trade Event Producers,Story,Medium,"*Acceptance Criteria:* \\  \\ * The Trade REST API publishes ORDER_PLACED to orders and returns NEW; lifecycle outcomes are published to trade-events. \\  \\ *Tasks:* \\  \\ Change POST /api/v1/orders to record the order, publish ORDER_PLACED to orders, and return NEW. \\  \\ Publish ORDER_FILLED, ORDER_REJECTED and ORDER_CANCELLED to trade-events from the executor. \\  \\ *Unit Test Execution Paths:* \\  \\ # ORDER_PLACED published on a newly accepted order \\ # producer handles broker-bus unavailability without losing the order \\  \\ *Notes:* \\  \\ * From this sprint the endpoint returns NEW and the fill arrives on trade-events; the UI must handle both NEW and synchronous FILLED.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Trade Executor: Marketability Gate & Fill Logic,Story,High,"*Acceptance Criteria:* \\  \\ * The Trade Executor consumes orders, prices each against a live Fauxnance quote, applies the fill or reject rule, and writes the outcome in one transaction. \\  \\ *Tasks:* \\  \\ Consume the orders topic in a single consumer group. \\  \\ Fetch a live quote from Fauxnance GET /quotes/{symbol} for the order symbol. \\  \\ Apply the marketability gate: fill the whole order at the quote when a BUY limit is at or above the quote, or a SELL limit is at or below it; reject otherwise. \\  \\ Re-check funds and holdings at execution time before committing, since state may have changed since acceptance. \\  \\ Update order, cash and position in one transaction, then publish ORDER_FILLED or ORDER_REJECTED to trade-events. \\  \\ *Unit Test Execution Paths:* \\  \\ # buy limit at or above quote fills at the quote \\ # sell limit at or below quote fills at the quote \\ # order outside the marketable range is rejected \\ # execution-time funds re-check rejects an order that no longer has cash \\  \\ *Integration Test* \\  \\ Test the executor against a mocked Fauxnance quote source covering fill, reject and pricing-unavailable responses. \\  \\ *Notes:* \\  \\ * Partial fills are out of scope: the order status enumeration has no state for them.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Idempotent Consumption & Dead-Letter Handling,Story,High,*Acceptance Criteria:* \\  \\ * Consumption is idempotent against redelivery and a replayed message does not double-debit an account. \\ * Malformed or unprocessable messages are routed to a dead-letter queue without stalling the partition. \\  \\ *Tasks:* \\  \\ Key idempotency on the envelope eventId so a duplicate delivery is a no-op. \\  \\ Commit the offset only after the side effect is durably written. \\  \\ Route messages that fail deserialisation or validation to a dead-letter queue and continue. \\  \\ *Unit Test Execution Paths:* \\  \\ # event consumed and processed once \\ # duplicate delivery handled idempotently with no double-debit \\ # malformed message routed to dead-letter and consumer continues,Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Market-Data Poller,Story,Medium,"*Acceptance Criteria:* \\  \\ * A poller calls Fauxnance on an interval and publishes each quote to the market-data topic keyed by symbol. \\  \\ *Tasks:* \\  \\ Call GET /quotes?symbols=A,B,C batching up to 25 symbols per request. \\  \\ Publish each quote to market-data keyed by symbol. \\  \\ Poll only held and watched symbols and cache, to stay inside the 2000-requests-per-day quota. \\  \\ *Unit Test Execution Paths:* \\  \\ # batch of up to 25 symbols fetched in one request \\ # each quote published keyed by symbol \\ # poller stays within the daily quota under a held-symbol set \\  \\ *Notes:* \\  \\ * This poller is what creates the real-time stream the Sprint 10 Watchlists and Portfolio extensions consume; the key stays in the environment.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Batch ETL: Incremental Load to Snowflake,Story,Medium,"*Acceptance Criteria:* \\  \\ * A single incremental load moves trade data from Postgres into FACT_TRADES and its dimensions, with dead-letter handling for bad rows. \\  \\ *Tasks:* \\  \\ Implement extract, transform and load stages for trade data. \\  \\ Load FACT_TRADES and the dimension tables defined in Sprint 4 as an incremental load. \\  \\ Route rows failing validation or schema checks to a dead-letter store without killing the load. \\  \\ *Unit Test Execution Paths:* \\  \\ # incremental load populates FACT_TRADES \\ # transform handles nulls and type mismatches \\ # invalid row routed to dead-letter and the load continues \\  \\ *Notes:* \\  \\ * Reduced for this run to a single incremental load rather than the full-plus-incremental pipeline.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Characterisation Tests on Own Sprint 6 Code,Story,Medium,"*Acceptance Criteria:* \\  \\ * Characterisation tests capture the existing behaviour of the team's own Sprint 6 code before it is extended. \\  \\ *Tasks:* \\  \\ Write characterisation tests around the Sprint 6 Trade REST API code. \\  \\ Apply the first refactors (extract method, replace conditional, introduce parameter object) with tests proving behaviour is unchanged. \\  \\ *Notes:* \\  \\ * The india branch ships clean stubs, so the refactoring subject is the team's own code, not a planted starter codebase.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,SonarQube Quality Gates & DevSecOps in CI,Story,Medium,"*Acceptance Criteria:* \\  \\ * SonarQube analysis and DevSecOps checks run in CI and the quality gate passes on the pipeline and the Java services. \\  \\ *Tasks:* \\  \\ Wire SonarQube analysis into GitHub Actions and interpret the findings. \\  \\ Add SAST, dependency scanning and secret detection to CI. \\  \\ Configure quality gates that fail the build on a threshold breach.",Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Dashboard Consumes Real-Time & Batch,Story,Low,*Acceptance Criteria:* \\  \\ * The analytics dashboard reads from both the real-time stream and the batch warehouse and reconciles the two. \\  \\ *Tasks:* \\  \\ Extend the Sprint 4 dashboard to read real-time and batch sources. \\  \\ Reconcile the two views for consistency.,Sprint 7,,S7 Event-Driven Backbone
LEAP1T1,Authentication Service (NestJS / JWT),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A centralised NestJS Auth service implements contracts/auth-api.yaml, hashing credentials in Postgres. \\ * Swapping the stub for the real service protects at least one Trade REST API route end to end with a configuration change only. \\ * The auth flow is reviewed against the auth-focused OWASP items, with live OpenAPI docs served by the running service. \\  \\ *Notes:* \\  \\ * The security keystone of the platform. \\ * Two SME sessions run on Monday and Tuesday, so plan the deliverable around the remaining build days. \\ * Refresh-token rotation is reduced to issuing a new refresh token on each refresh; revoking the previous one is optional and documented if not built. \\ * Security focus: password hashing, JWT issuance and validation, defence against token leakage, replay and timing attacks (OWASP A07, A01).",Sprint 8,S8 Auth Service,
LEAP1T1,NestJS Project Scaffold,Story,Medium,"*Acceptance Criteria:* \\  \\ * A modular, layered NestJS service is scaffolded in TypeScript with controller, service and repository layers. \\  \\ *Tasks:* \\  \\ Scaffold the NestJS project with modules, controllers and providers. \\  \\ Establish the layered structure and dependency injection.",Sprint 8,,S8 Auth Service
LEAP1T1,Implement the Provided Auth Contract,Story,Medium,"*Acceptance Criteria:* \\  \\ * The auth endpoints implement contracts/auth-api.yaml before implementation detail is filled in. \\  \\ *Tasks:* \\  \\ Map the login, register and refresh endpoints to the provided contract. \\  \\ Match the token and error response schemas to the contract.",Sprint 8,,S8 Auth Service
